"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","replicated","t1","t2","v1","v2","mdh0scale","mdh25scale","mdh33scale","mdh67scale"
"alogna","RR1",2,3.00617996501599,3.84145882069418,0.0829475602448848,7.849,4.75884383138652,0.121379406018542,9.139,5.04323657468101,0.134153039713087,9.53133333333333,6.08289572202274,0.184863998293303,10.9426666666667,1,-0.224039829302987,-0.0309868886193424,0.0121644178033569,0.00023318923957494,0.311943612981532,0.336603224532021,0.343752418554204,0.368324424027409
"alogna","RR2",2,0.822594663772556,3.84145882069418,0.364422637747578,7.849,4.75884383138652,0.421733129947402,9.139,5.04323657468101,0.439705620466277,9.53133333333333,6.08289572202274,0.506357577413602,10.9426666666667,1,-0.25,-0.154740520480937,0.010647539444027,0.000383857716545704,0.294254033639872,0.317515257350688,0.324259037606981,0.347437623172506
"cheung","Exit",2,6.12463392367288,3.84145882069418,0.0133310890284771,7.849,4.75884383138652,0.025611336536748,9.139,5.04323657468101,0.030020361051343,9.53133333333333,6.08289572202274,0.0491267763441932,10.9426666666667,0,-0.599129236525334,-0.0493369219883742,0.0469604260789856,0.00239298718471492,0.622394521751907,0.671595744341013,0.68585992225387,0.734886351898661
"cheung","Neglect",2,3.31620087083994,3.84145882069418,0.0686001845347184,7.849,4.75884383138652,0.103385601574453,9.139,5.04323657468101,0.115039738476767,9.53133333333333,6.08289572202274,0.16173292149916,10.9426666666667,0,-0.447436291057961,-0.0465378893571133,0.0460685350255938,0.00239642073131928,0.616766923347881,0.665523275823189,0.679658479167582,0.728241619150299
"cheung","Voice",2,2.08879841431021,3.84145882069418,0.148382736953905,7.849,4.75884383138652,0.198132529675471,9.139,5.04323657468101,0.214276077938778,9.53133333333333,6.08289572202274,0.27660547902213,10.9426666666667,1,0.341336384181257,0.0247317963953318,0.0455983737481232,0.00239020395299388,0.613728234950998,0.662244374540478,0.67630993653939,0.724653717019901
"cheung","Loyalty",2,0.876291146605723,3.84145882069418,0.349219520626489,7.849,4.75884383138652,0.406866891818919,9.139,5.04323657468101,0.424971699112665,9.53133333333333,6.08289572202274,0.492232251646252,10.9426666666667,1,0.211999576001272,0.00779897590499716,0.0451963135967681,0.00238819668978879,0.611138954116971,0.659450407164059,0.673456627441294,0.721596448551657
"eerland","Imagery",2,7.19655427393163,3.84145882069418,0.00730436978361193,7.849,4.75884383138652,0.0152608832591534,9.139,5.04323657468101,0.0181901541478101,9.53133333333333,6.08289572202274,0.0312440759098542,10.9426666666667,0,0.734099673286689,-0.0810566972533538,0.0889468992741627,0.00338616501453284,0.851306185577182,0.918603219314187,0.938113646326314,1.00517159968987
"eerland","Intention_attribution",2,4.83952154643656,3.84145882069418,0.0278146111157522,7.849,4.75884383138652,0.0480437979653232,9.139,5.04323657468101,0.0550849032808447,9.53133333333333,6.08289572202274,0.0845509700982988,10.9426666666667,0,0.674529352462876,0.00923101661754357,0.088072810909729,0.00338703102536476,0.847271089645192,0.914249142982821,0.933667092757026,1.00040719893539
"eerland","Intentionality",2,9.59532152021904,3.84145882069418,0.00195073763569231,7.849,4.75884383138652,0.00485402118415779,9.139,5.04323657468101,0.005981986742572,9.53133333333333,6.08289572202274,0.0113155949992185,10.9426666666667,0,0.767655185320116,-0.176404367748559,0.0894718175369673,0.00341182767098206,0.853840577178898,0.921337958381966,0.940906469151974,1.00816405822442
"hagger","RTV",2,4.9982802422133,3.84145882069418,0.0253725174990388,7.849,4.75884383138652,0.0444224599516364,9.139,5.04323657468101,0.0510789488505419,9.53133333333333,6.08289572202274,0.0790582087973507,10.9426666666667,0,0.68,0.00386737812693202,0.0900640764724021,0.00139844667706334,0.847283508750261,0.914262543836815,0.933680778234869,1.00042186267439
